location,total_sqft,bhk,bath,price
Whitefield,1200,2,2,6500000
Indiranagar,2400,4,4,24800000
Electronic City,1800,3,3,9000000
BTM Layout,1500,3,2,10500000
Jayanagara,3000,4,4,42000000
Hebbal,2200,3,3,17600000
Marathahalli,1700,3,2,10200000
Yelahanka,2000,3,3,12000000
Banashankari,2800,4,4,30800000
HSR Layout,1900,3,3,22800000
Koramangala,2500,4,4,45000000
Rajajinagar,2600,4,4,39000000
Malleshwaram,2100,3,3,27300000
Bellandur,1800,3,3,12600000
KR Puram,1600,3,2,8200000
Mahadevapura,1750,3,3,9800000
CV Raman Nagar,1500,3,2,8700000
Kengeri,2200,4,3,11000000
Vijayanagar,2400,4,4,25000000
JP Nagar,2100,3,3,22000000
MG Road,3200,4,4,65000000
Domlur,2000,3,3,26000000
Ulsoor,2300,4,4,32000000
RT Nagar,1700,3,2,11800000
Hennur,1800,3,3,12500000
Thanisandra,2100,3,3,14500000
Bannerghatta Road,2600,4,4,21000000
Kanakapura Road,2400,4,3,18000000
Silk Board,1600,3,2,9500000
Begur Road,2000,3,3,11500000
Kadugodi,1900,3,3,10800000
Brookefield,2200,4,4,19800000
Frazer Town,2500,4,4,36000000
Shivajinagar,1800,3,3,17500000
Nagawara,2100,3,3,15200000
Banaswadi,1700,3,2,10800000
Ramamurthy Nagar,1600,3,2,9200000
Chandapura,3000,4,4,14000000
Attibele,2800,4,4,12500000
Devanahalli,3500,5,5,26000000
Airport Road,3200,5,5,52000000
Mysore Road,2500,4,4,15500000
Hosakerehalli,2000,3,3,21000000
Padmanabhanagar,2700,4,4,33000000
Uttarahalli,2300,4,3,16500000
Sahakar Nagar,2600,4,4,29500000
Vidyaranyapura,2100,3,3,14800000
Nagarbhavi,2400,4,4,18500000
Anekal,5000,5,5,22000000
Jakkur,2800,4,4,28000000
Horamavu,2000,3,3,12500000
Kasturi Nagar,2200,4,4,25500000
Cooke Town,2600,4,4,38500000
Richmond Town,3000,5,5,72000000
Lavelle Road,3500,5,5,95000000
Residency Road,3200,5,5,84000000
Cunningham Road,2800,4,4,58000000
Seshadripuram,2400,4,4,29000000
Wilson Garden,2100,3,3,19500000
Arekere,1900,3,3,10800000
Akshaya Nagar,2200,4,4,15500000
Girinagar,2500,4,4,32000000
Kodigehalli,2000,3,3,14500000
Basaveshwar Nagar,2600,4,4,34000000
Chikkabanavara,3000,5,4,16000000
Yeshwanthpur,2400,4,4,25000000
Mathikere,2000,3,3,17500000
Hosur Road,1800,3,3,9800000
Varthur,2300,4,4,16500000
Panathur,2200,4,4,18500000
Kadubeesanahalli,2100,3,3,17800000
Doddanekundi,2000,3,3,16800000
Kalyan Nagar,2400,4,4,28500000
Sanjay Nagar,2600,4,4,35000000
Lingarajapuram,1900,3,3,14800000
New BEL Road,2800,4,4,45000000
RMV Extension,3000,5,5,62000000
Sadashivanagar,4000,5,5,120000000
Dollar Colony,3500,5,5,98000000
Bilekahalli,2000,3,3,12500000
Hulimavu,2200,4,4,15500000
Kodihalli,2600,4,4,39500000
Kaggadasapura,1800,3,3,11500000
Murugeshpalya,2100,3,3,17800000
Ejipura,1900,3,3,15800000
Hongasandra,1700,3,2,9800000
Parappana Agrahara,2400,4,4,17500000
Srinagar,2200,4,4,23500000
Chamrajpet,2600,4,4,36000000
RR Nagar,3000,5,5,32000000
Chikkalasandra,2300,4,4,19000000
Basavanagudi,2800,4,4,48000000
Bommanahalli,2000,3,3,12500000
Kammanahalli,2200,4,4,25500000
Cubbon Park,4000,5,5,150000000
Sarjapur Road,2400,4,4,22000000
Peenya,2600,4,4,17000000
